symbol,network,contract
SNX,base,0x22e6966b799c4d5b13be962e1d117b56327fda66
AERO,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631
cbETH,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22
rETH,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c
weETH,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a
sUSDS,base,0x5875eee11cf8398102fdad704c9e96607675467a
MORPHO,base,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842
UNIT,base,0xb95fb324b8a2faf8ec4f76e3df46c718402736e2
wstETH,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452
USDC,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913
snxUSD,base,0x09d51516f38980035153a554c26df3c6f51a23c3
EURC,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42
eUSD,base,0xcfa3ef56d303ae4faaba0592388f19d7c3399fb4
USDT,base,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2
AAVEV3,base,0xa238dd80c259a72e81d7e4664a9801593f98d1c5
AEROCL,base,0x827922686190790b37229fd06084350e74485b72
fUSDC,base,0xf42f5795d9ac7e9d757db633d693cd548cfd9169
vAMM-weETH-WETH-AERODROME,base,0x688b0380360c84135769d4f75d70038119846a8e
